count,date
456,2020-01-01 00:00:00
434,2020-01-02 00:00:00
431,2020-01-03 00:00:00
200,2020-01-04 00:00:00
287,2020-01-05 00:00:00
433,2020-01-06 00:00:00
526,2020-01-07 00:00:00
550,2020-01-08 00:00:00
541,2020-01-09 00:00:00
500,2020-01-10 00:00:00
256,2020-01-11 00:00:00
255,2020-01-12 00:00:00
600,2020-01-13 00:00:00
626,2020-01-14 00:00:00
1286,2020-01-15 00:00:00
901,2020-01-16 00:00:00
613,2020-01-17 00:00:00
242,2020-01-18 00:00:00
371,2020-01-19 00:00:00
473,2020-01-20 00:00:00
1199,2020-01-21 00:00:00
1741,2020-01-22 00:00:00
1443,2020-01-23 00:00:00
2042,2020-01-24 00:00:00
714,2020-01-25 00:00:00
618,2020-01-26 00:00:00
1476,2020-01-27 00:00:00
2119,2020-01-28 00:00:00
2158,2020-01-29 00:00:00
1480,2020-01-30 00:00:00
1314,2020-01-31 00:00:00
666,2020-02-01 00:00:00
602,2020-02-02 00:00:00
1073,2020-02-03 00:00:00
914,2020-02-04 00:00:00
1187,2020-02-05 00:00:00
1147,2020-02-06 00:00:00
1187,2020-02-07 00:00:00
546,2020-02-08 00:00:00
574,2020-02-09 00:00:00
1193,2020-02-10 00:00:00
1725,2020-02-11 00:00:00
1396,2020-02-12 00:00:00
1185,2020-02-13 00:00:00
1166,2020-02-14 00:00:00
1666,2020-02-15 00:00:00
679,2020-02-16 00:00:00
1022,2020-02-17 00:00:00
980,2020-02-18 00:00:00
1414,2020-02-19 00:00:00
1411,2020-02-20 00:00:00
1263,2020-02-21 00:00:00
528,2020-02-22 00:00:00
518,2020-02-23 00:00:00
1788,2020-02-24 00:00:00
3180,2020-02-25 00:00:00
3503,2020-02-26 00:00:00
3497,2020-02-27 00:00:00
2515,2020-02-28 00:00:00
1482,2020-02-29 00:00:00
1548,2020-03-01 00:00:00
3797,2020-03-02 00:00:00
4167,2020-03-03 00:00:00
3706,2020-03-04 00:00:00
3117,2020-03-05 00:00:00
3625,2020-03-06 00:00:00
1447,2020-03-07 00:00:00
1678,2020-03-08 00:00:00
2919,2020-03-09 00:00:00
3801,2020-03-10 00:00:00
3816,2020-03-11 00:00:00
3985,2020-03-12 00:00:00
3771,2020-03-13 00:00:00
2311,2020-03-14 00:00:00
5325,2020-03-15 00:00:00
6650,2020-03-16 00:00:00
4836,2020-03-17 00:00:00
4457,2020-03-18 00:00:00
4719,2020-03-19 00:00:00
4512,2020-03-20 00:00:00
2349,2020-03-21 00:00:00
2576,2020-03-22 00:00:00
4834,2020-03-23 00:00:00
4152,2020-03-24 00:00:00
3667,2020-03-25 00:00:00
4308,2020-03-26 00:00:00
3572,2020-03-27 00:00:00
2197,2020-03-28 00:00:00
2224,2020-03-29 00:00:00
4323,2020-03-30 00:00:00
4491,2020-03-31 00:00:00
4700,2020-04-01 00:00:00
4197,2020-04-02 00:00:00
4141,2020-04-03 00:00:00
2242,2020-04-04 00:00:00
2536,2020-04-05 00:00:00
4310,2020-04-06 00:00:00
4657,2020-04-07 00:00:00
4364,2020-04-08 00:00:00
4823,2020-04-09 00:00:00
3910,2020-04-10 00:00:00
3245,2020-04-11 00:00:00
3433,2020-04-12 00:00:00
5591,2020-04-13 00:00:00
6851,2020-04-14 00:00:00
9465,2020-04-15 00:00:00
7940,2020-04-16 00:00:00
5997,2020-04-17 00:00:00
3888,2020-04-18 00:00:00
3868,2020-04-19 00:00:00
6625,2020-04-20 00:00:00
6291,2020-04-21 00:00:00
7023,2020-04-22 00:00:00
7607,2020-04-23 00:00:00
8019,2020-04-24 00:00:00
4313,2020-04-25 00:00:00
4182,2020-04-26 00:00:00
6001,2020-04-27 00:00:00
8418,2020-04-28 00:00:00
7711,2020-04-29 00:00:00
7277,2020-04-30 00:00:00
6402,2020-05-01 00:00:00
3347,2020-05-02 00:00:00
4633,2020-05-03 00:00:00
8094,2020-05-04 00:00:00
9035,2020-05-05 00:00:00
7554,2020-05-06 00:00:00
7454,2020-05-07 00:00:00
6173,2020-05-08 00:00:00
3540,2020-05-09 00:00:00
3266,2020-05-10 00:00:00
5717,2020-05-11 00:00:00
7637,2020-05-12 00:00:00
7602,2020-05-13 00:00:00
